#TYPE System.IO.FileInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","VersionInfo","BaseName","Target","LinkType","Name","Length","DirectoryName","Directory","IsReadOnly","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\CoverLetters\the-cover-letter.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\CoverLetters","the-cover-letter.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\CoverLetters\the-cover-letter.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","the-cover-letter","System.Collections.Generic.List`1[System.String]",,"the-cover-letter.docx","22892","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\CoverLetters","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\CoverLetters","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\CoverLetters\the-cover-letter.docx",".docx","4/14/2022 10:58:09 AM","4/14/2022 5:58:09 PM","4/14/2022 10:58:32 AM","4/14/2022 5:58:32 PM","1/22/2017 9:22:40 PM","1/23/2017 5:22:40 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\2010AdoptedScienceStandards.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","2010AdoptedScienceStandards.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\2010AdoptedScienceStandards.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","2010AdoptedScienceStandards","System.Collections.Generic.List`1[System.String]",,"2010AdoptedScienceStandards.pdf","528847","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\2010AdoptedScienceStandards.pdf",".pdf","4/14/2022 10:58:09 AM","4/14/2022 5:58:09 PM","4/14/2022 10:58:32 AM","4/14/2022 5:58:32 PM","7/14/2016 8:53:06 AM","7/14/2016 3:53:06 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\cle-other-science.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","cle-other-science.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\cle-other-science.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","cle-other-science","System.Collections.Generic.List`1[System.String]",,"cle-other-science.pdf","491735","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\cle-other-science.pdf",".pdf","4/14/2022 10:58:09 AM","4/14/2022 5:58:09 PM","4/14/2022 10:58:32 AM","4/14/2022 5:58:32 PM","7/14/2016 8:52:46 AM","7/14/2016 3:52:46 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\K-12_Science_Performance_Expectations_v5_496901_7.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","K-12_Science_Performance_Expectations_v5_496901_7.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\K-12_Science_Performance_Expectations_v5_496901_7.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","K-12_Science_Performance_Expectations_v5_496901_7","System.Collections.Generic.List`1[System.String]",,"K-12_Science_Performance_Expectations_v5_496901_7.pdf","1017137","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\K-12_Science_Performance_Expectations_v5_496901_7.pdf",".pdf","4/14/2022 10:58:09 AM","4/14/2022 5:58:09 PM","4/14/2022 10:58:32 AM","4/14/2022 5:58:32 PM","7/14/2016 8:52:54 AM","7/14/2016 3:52:54 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\nssmic15.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","nssmic15.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\nssmic15.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","nssmic15","System.Collections.Generic.List`1[System.String]",,"nssmic15.docx","71009","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\nssmic15.docx",".docx","4/14/2022 10:58:09 AM","4/14/2022 5:58:09 PM","4/14/2022 10:58:32 AM","4/14/2022 5:58:32 PM","7/14/2016 11:02:04 AM","7/14/2016 6:02:04 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014","System.Collections.Generic.List`1[System.String]",,"South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf","1167470","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\South_Carolina_Academic_Standards_and_Performance_Indicators_for_Science_2014.pdf",".pdf","4/14/2022 10:58:09 AM","4/14/2022 5:58:09 PM","4/14/2022 10:58:32 AM","4/14/2022 5:58:32 PM","7/14/2016 9:46:12 AM","7/14/2016 4:46:12 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\stds_scienceKinder.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","stds_scienceKinder.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\stds_scienceKinder.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","stds_scienceKinder","System.Collections.Generic.List`1[System.String]",,"stds_scienceKinder.pdf","61430","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Sciences\stds_scienceKinder.pdf",".pdf","4/14/2022 10:58:09 AM","4/14/2022 5:58:09 PM","4/14/2022 10:58:32 AM","4/14/2022 5:58:32 PM","7/14/2016 8:49:38 AM","7/14/2016 3:49:38 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates\APA-Citation-Work-Cited1.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates","APA-Citation-Work-Cited1.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates\APA-Citation-Work-Cited1.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","APA-Citation-Work-Cited1","System.Collections.Generic.List`1[System.String]",,"APA-Citation-Work-Cited1.docx","49920","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates\APA-Citation-Work-Cited1.docx",".docx","4/14/2022 10:58:09 AM","4/14/2022 5:58:09 PM","4/14/2022 10:58:32 AM","4/14/2022 5:58:32 PM","7/14/2016 11:01:46 AM","7/14/2016 6:01:46 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates\Microsoft-Word-Trifold-Brochure-Template.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates","Microsoft-Word-Trifold-Brochure-Template.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates\Microsoft-Word-Trifold-Brochure-Template.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Microsoft-Word-Trifold-Brochure-Template","System.Collections.Generic.List`1[System.String]",,"Microsoft-Word-Trifold-Brochure-Template.docx","79583","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates\Microsoft-Word-Trifold-Brochure-Template.docx",".docx","4/14/2022 10:58:09 AM","4/14/2022 5:58:09 PM","4/14/2022 10:58:32 AM","4/14/2022 5:58:32 PM","7/14/2016 11:01:48 AM","7/14/2016 6:01:48 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates\rgo_template.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates","rgo_template.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates\rgo_template.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","rgo_template","System.Collections.Generic.List`1[System.String]",,"rgo_template.docx","8362477","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week12\Class\Documents\Documents\Templates\rgo_template.docx",".docx","4/14/2022 10:58:09 AM","4/14/2022 5:58:09 PM","4/14/2022 10:58:32 AM","4/14/2022 5:58:32 PM","7/14/2016 11:01:40 AM","7/14/2016 6:01:40 PM","Archive"
