#TYPE System.IO.FileInfo
"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","VersionInfo","BaseName","Target","LinkType","Name","Length","DirectoryName","Directory","IsReadOnly","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\2010AdoptedScienceStandards.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","2010AdoptedScienceStandards.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\2010AdoptedScienceStandards.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","2010AdoptedScienceStandards","System.Collections.Generic.List`1[System.String]",,"2010AdoptedScienceStandards.pdf","528847","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\2010AdoptedScienceStandards.pdf",".pdf","7/14/2016 8:53:06 AM","7/14/2016 3:53:06 PM","4/26/2022 7:43:47 PM","4/27/2022 2:43:47 AM","4/26/2022 7:26:18 PM","4/27/2022 2:26:18 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\3yr-Project-Financial-Report-Template.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","3yr-Project-Financial-Report-Template.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\3yr-Project-Financial-Report-Template.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","3yr-Project-Financial-Report-Template","System.Collections.Generic.List`1[System.String]",,"3yr-Project-Financial-Report-Template.xlsx","145129","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\3yr-Project-Financial-Report-Template.xlsx",".xlsx","1/22/2017 7:02:26 PM","1/23/2017 3:02:26 AM","4/26/2022 7:43:47 PM","4/27/2022 2:43:47 AM","4/26/2022 7:26:18 PM","4/27/2022 2:26:18 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\82808-Annual Report Financial Overview Template and Graphs.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","82808-Annual Report Financial Overview Template and Graphs.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\82808-Annual Report Financial Overview Template and Graphs.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","82808-Annual Report Financial Overview Template and Graphs","System.Collections.Generic.List`1[System.String]",,"82808-Annual Report Financial Overview Template and Graphs.xlsx","3079772","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\82808-Annual Report Financial Overview Template and Graphs.xlsx",".xlsx","1/22/2017 7:02:42 PM","1/23/2017 3:02:42 AM","4/26/2022 7:43:47 PM","4/27/2022 2:43:47 AM","4/26/2022 7:26:18 PM","4/27/2022 2:26:18 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\APA-Citation-Work-Cited1.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","APA-Citation-Work-Cited1.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\APA-Citation-Work-Cited1.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","APA-Citation-Work-Cited1","System.Collections.Generic.List`1[System.String]",,"APA-Citation-Work-Cited1.docx","49920","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\APA-Citation-Work-Cited1.docx",".docx","7/14/2016 11:01:46 AM","7/14/2016 6:01:46 PM","4/26/2022 7:43:47 PM","4/27/2022 2:43:47 AM","4/26/2022 7:26:18 PM","4/27/2022 2:26:18 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\cle-other-science.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","cle-other-science.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\cle-other-science.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","cle-other-science","System.Collections.Generic.List`1[System.String]",,"cle-other-science.pdf","491735","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\cle-other-science.pdf",".pdf","7/14/2016 8:52:46 AM","7/14/2016 3:52:46 PM","4/26/2022 7:43:47 PM","4/27/2022 2:43:47 AM","4/26/2022 7:26:18 PM","4/27/2022 2:26:18 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\Commercial_audit_checklist_tool.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","Commercial_audit_checklist_tool.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\Commercial_audit_checklist_tool.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Commercial_audit_checklist_tool","System.Collections.Generic.List`1[System.String]",,"Commercial_audit_checklist_tool.xlsx","221129","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\Commercial_audit_checklist_tool.xlsx",".xlsx","7/14/2016 8:54:46 AM","7/14/2016 3:54:46 PM","4/26/2022 7:43:47 PM","4/27/2022 2:43:47 AM","4/26/2022 7:26:18 PM","4/27/2022 2:26:18 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\DoD_Master_Office_2010_Settings_v1.0.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","DoD_Master_Office_2010_Settings_v1.0.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\DoD_Master_Office_2010_Settings_v1.0.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","DoD_Master_Office_2010_Settings_v1.0","System.Collections.Generic.List`1[System.String]",,"DoD_Master_Office_2010_Settings_v1.0.xlsx","319973","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\DoD_Master_Office_2010_Settings_v1.0.xlsx",".xlsx","7/14/2016 11:02:56 AM","7/14/2016 6:02:56 PM","4/26/2022 7:43:47 PM","4/27/2022 2:43:47 AM","4/26/2022 7:26:18 PM","4/27/2022 2:26:18 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\FinancialStatementFY12Q2.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","FinancialStatementFY12Q2.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\FinancialStatementFY12Q2.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","FinancialStatementFY12Q2","System.Collections.Generic.List`1[System.String]",,"FinancialStatementFY12Q2.xlsx","78249","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\FinancialStatementFY12Q2.xlsx",".xlsx","7/14/2016 11:02:22 AM","7/14/2016 6:02:22 PM","4/26/2022 7:43:47 PM","4/27/2022 2:43:47 AM","4/26/2022 7:26:18 PM","4/27/2022 2:26:18 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\GPAF IMP 067 Annual Financial Report 300414.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","GPAF IMP 067 Annual Financial Report 300414.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\GPAF IMP 067 Annual Financial Report 300414.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","GPAF IMP 067 Annual Financial Report 300414","System.Collections.Generic.List`1[System.String]",,"GPAF IMP 067 Annual Financial Report 300414.xlsx","184360","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\GPAF IMP 067 Annual Financial Report 300414.xlsx",".xlsx","1/22/2017 7:03:26 PM","1/23/2017 3:03:26 AM","4/26/2022 7:43:47 PM","4/27/2022 2:43:47 AM","4/26/2022 7:26:18 PM","4/27/2022 2:26:18 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\Index_Table_Contents.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","Index_Table_Contents.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\Index_Table_Contents.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Index_Table_Contents","System.Collections.Generic.List`1[System.String]",,"Index_Table_Contents.xlsx","60765","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem","False","True","C:\Users\Asani-Web\Documents\Vessup_SYS-320\Week13\Assignment\FileSystem\Index_Table_Contents.xlsx",".xlsx","7/14/2016 9:47:06 AM","7/14/2016 4:47:06 PM","4/26/2022 7:43:47 PM","4/27/2022 2:43:47 AM","4/26/2022 7:26:18 PM","4/27/2022 2:26:18 AM","Archive"
